USD,GBP,EUR,Date,Year
87.02288,164.80769,113.44752,2005-02-17,2005
86.94015,165.75451,114.47106,2005-02-18,2005
86.8319,165.57939,114.76754,2005-02-21,2005
86.85975,165.32584,115.05609,2005-02-22,2005
86.89165,165.65725,114.36792,2005-02-23,2005
86.87271,167.1939,115.21027,2005-02-24,2005
86.82168,166.86659,114.69745,2005-02-25,2005
86.81336,165.7664,113.81029,2005-02-28,2005
86.88557,165.78754,114.17214,2005-03-01,2005
86.8328,165.42377,113.79337,2005-03-02,2005
86.82506,166.38823,114.81187,2005-03-03,2005
86.83613,167.33461,116.11363,2005-03-04,2005
86.7592,167.41789,116.62917,2005-03-07,2005
86.81427,166.63424,116.51881,2005-03-09,2005
86.85939,166.66248,116.46566,2005-03-10,2005
86.80349,166.17489,116.05576,2005-03-11,2005
86.91542,166.86755,116.08027,2005-03-14,2005
86.87577,167.29567,116.27383,2005-03-15,2005
86.86158,166.84363,116.02963,2005-03-16,2005
86.86042,165.76523,114.79664,2005-03-17,2005
86.87525,164.92876,114.45491,2005-03-18,2005
86.86153,163.5558,113.30851,2005-03-21,2005
86.88816,162.51913,112.98535,2005-03-22,2005
86.91898,161.98841,112.30431,2005-03-23,2005
86.93303,162.92911,112.44134,2005-03-24,2005
86.93187,163.34007,112.67049,2005-03-28,2005
86.9363,163.46323,112.60318,2005-03-29,2005
86.92798,164.0826,112.70627,2005-03-30,2005
86.89688,162.98938,111.46185,2005-03-31,2005
86.92541,163.63407,112.06586,2005-04-01,2005
86.93118,163.35057,112.34318,2005-04-05,2005
86.93694,162.61187,111.61803,2005-04-06,2005
86.9469,164.28521,112.76299,2005-04-07,2005
86.93947,164.54699,112.93856,2005-04-08,2005
86.91639,164.64383,112.51966,2005-04-11,2005
86.92799,163.87992,111.57467,2005-04-12,2005
86.95608,164.09883,111.87171,2005-04-13,2005
86.97508,165.37389,113.03465,2005-04-14,2005
86.94356,166.1037,113.20781,2005-04-15,2005
87.0597,166.71604,113.539,2005-04-18,2005
87.04347,166.83811,114.17901,2005-04-19,2005
87.04276,167.09622,114.11854,2005-04-20,2005
87.08982,167.19317,113.45594,2005-04-21,2005
87.21281,166.98787,113.72201,2005-04-22,2005
87.30666,167.15705,113.46908,2005-04-25,2005
87.4487,168.14298,113.94784,2005-04-26,2005
87.57952,167.2071,113.71532,2005-04-27,2005
87.86508,168.23479,114.63669,2005-04-28,2005
87.79718,168.53452,114.51444,2005-04-29,2005
87.93629,168.21911,114.84437,2005-05-03,2005
88.34316,167.13597,113.88369,2005-05-04,2005
88.57726,166.94594,113.97544,2005-05-05,2005
88.32583,167.76084,114.48172,2005-05-06,2005
88.66237,165.72249,113.30777,2005-05-09,2005
88.7982,165.32944,112.44993,2005-05-10,2005
88.87667,165.23489,112.38562,2005-05-11,2005
88.82815,163.05911,112.10868,2005-05-12,2005
88.77832,162.68836,111.97466,2005-05-13,2005
88.7389,163.18468,112.3475,2005-05-16,2005
88.68815,163.06927,112.10791,2005-05-17,2005
88.68656,162.01978,111.2511,2005-05-18,2005
88.70685,162.3315,111.60014,2005-05-19,2005
88.72108,161.71169,111.3525,2005-05-20,2005
88.72104,161.80278,111.18173,2005-05-23,2005
88.70991,161.9331,111.20086,2005-05-24,2005
88.6912,161.55554,109.51307,2005-05-26,2005
88.69176,161.26434,108.79169,2005-05-27,2005
88.74659,161.59997,109.13152,2005-05-30,2005
88.75478,161.7409,109.03831,2005-05-31,2005
88.84,162.63515,109.27604,2005-06-02,2005
88.8313,163.11546,109.47751,2005-06-03,2005
88.86932,162.12728,108.53214,2005-06-06,2005
88.82958,161.81152,108.65351,2005-06-07,2005
88.81343,160.93393,107.5619,2005-06-08,2005
88.77515,160.92574,107.99526,2005-06-09,2005
88.86608,160.8691,107.19566,2005-06-10,2005
88.87813,161.80325,107.4035,2005-06-13,2005
88.89413,161.8084,107.59365,2005-06-14,2005
88.9289,162.38886,108.63568,2005-06-15,2005
88.95167,162.0836,107.90157,2005-06-16,2005
88.91754,162.862,108.34041,2005-06-17,2005
88.92037,161.99493,107.57844,2005-06-20,2005
88.92173,161.80184,107.17092,2005-06-21,2005
88.93964,162.53526,108.24711,2005-06-22,2005
88.95674,161.80099,107.67755,2005-06-23,2005
88.97398,161.45575,107.11823,2005-06-24,2005
88.97544,160.96843,107.55844,2005-06-27,2005
88.96779,158.65498,107.61426,2005-06-28,2005
88.9603,156.64853,106.02778,2005-06-29,2005
88.96124,156.00126,105.7417,2005-06-30,2005
88.97216,156.21953,106.08586,2005-07-01,2005
88.95211,155.82842,106.15727,2005-07-04,2005
88.96441,154.51125,105.86338,2005-07-05,2005
88.97072,154.95339,106.92362,2005-07-06,2005
88.96835,156.93075,108.13513,2005-07-07,2005
88.96855,157.62294,108.52814,2005-07-08,2005
88.9683,156.71947,107.48995,2005-07-11,2005
88.97697,156.62687,107.73658,2005-07-12,2005
88.97814,155.3764,107.26168,2005-07-13,2005
88.97208,154.88446,106.77054,2005-07-14,2005
88.97438,154.52073,107.30508,2005-07-15,2005
88.97232,155.3803,108.27864,2005-07-18,2005
88.96954,156.07984,108.31809,2005-07-19,2005
88.96804,154.5278,107.15873,2005-07-20,2005
88.96864,154.46265,106.86929,2005-07-21,2005
88.97177,154.65384,106.73268,2005-07-22,2005
88.97494,155.43172,107.48269,2005-07-25,2005
88.97271,156.12841,107.80613,2005-07-26,2005
88.97618,157.20088,108.64452,2005-07-27,2005
88.97356,157.54283,108.64378,2005-07-28,2005
88.97574,157.34509,108.49729,2005-07-29,2005
89.0077,158.18215,109.76394,2005-08-01,2005
88.97995,158.17088,110.07988,2005-08-02,2005
88.97206,158.77564,110.04411,2005-08-03,2005
88.97596,159.10793,110.3159,2005-08-04,2005
88.97134,159.27118,110.18458,2005-08-05,2005
88.97501,160.43744,110.38694,2005-08-08,2005
88.97486,161.30789,110.94479,2005-08-09,2005
88.97161,161.09115,110.20293,2005-08-10,2005
88.97334,160.68675,109.75181,2005-08-11,2005
88.97867,160.37941,109.37061,2005-08-12,2005
89.01219,160.47705,109.10412,2005-08-15,2005
88.98097,160.47705,109.10412,2005-08-16,2005
88.86067,159.39172,108.21203,2005-08-17,2005
88.91197,160.16844,108.7067,2005-08-18,2005
88.92666,159.97106,108.87463,2005-08-19,2005
88.94627,160.79562,109.51043,2005-08-22,2005
88.97258,160.7966,109.51109,2005-08-23,2005
88.97167,160.69859,109.68288,2005-08-24,2005
88.97439,159.51702,108.69366,2005-08-25,2005
88.975,158.73788,108.76748,2005-08-26,2005
88.97554,160.38915,109.78818,2005-08-29,2005
88.97054,163.45924,111.61854,2005-08-30,2005
88.97647,164.3924,111.56438,2005-08-31,2005
88.97863,163.8409,110.91494,2005-09-01,2005
88.97656,163.80615,111.05789,2005-09-02,2005
88.98162,163.50362,110.60408,2005-09-05,2005
88.981,163.59457,110.60541,2005-09-06,2005
88.9811,162.89481,109.68215,2005-09-07,2005
88.98156,162.13775,109.46812,2005-09-08,2005
88.98156,162.34035,109.16418,2005-09-09,2005
88.98263,160.93805,108.75732,2005-09-12,2005
88.98438,161.13121,109.2329,2005-09-13,2005
88.984,160.23414,107.95873,2005-09-14,2005
88.98287,160.7466,108.14914,2005-09-15,2005
88.98488,160.79621,108.5648,2005-09-16,2005
88.97361,160.97325,108.70655,2005-09-19,2005
88.97942,158.82008,107.82575,2005-09-20,2005
88.98234,157.81166,107.25747,2005-09-21,2005
88.98025,157.31684,106.895,2005-09-22,2005
88.97974,157.40714,106.96994,2005-09-23,2005
88.97982,157.07346,107.25167,2005-09-26,2005
88.98819,156.51631,106.98099,2005-09-27,2005
88.99018,156.83886,107.00637,2005-09-28,2005
88.98589,156.40461,106.2067,2005-09-29,2005
88.98338,156.86315,106.33734,2005-09-30,2005
88.98028,157.69236,107.33509,2005-10-03,2005
88.98659,157.44615,108.18249,2005-10-04,2005
88.9876,156.79872,107.99712,2005-10-05,2005
88.98522,155.64052,107.00564,2005-10-06,2005
88.98615,154.91731,106.42556,2005-10-07,2005
88.98782,155.50517,106.61229,2005-10-10,2005
88.98906,156.1495,106.81994,2005-10-11,2005
88.99338,157.04154,107.43683,2005-10-12,2005
88.99202,155.66492,106.62882,2005-10-13,2005
88.97704,155.5274,105.86072,2005-10-14,2005
88.89809,156.52683,106.40482,2005-10-17,2005
88.94514,157.93004,106.96595,2005-10-18,2005
